module_name,class_name,method_name,startLine,CBM,m_FAN_IN,m_FAN_OUT,IDMC,EDMC,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,m_variablesQty,parametersQty,m_modifier
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.TestJavassistUtils,org.apache.servicecomb.common.javassist.TestJavassistUtils.managerClassPool,251,1,0,1,1,0,False,0,2,0,0,4
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.TestJavassistUtils,org.apache.servicecomb.common.javassist.TestJavassistUtils.singleWrapperInt,146,2,0,2,2,0,False,0,6,0,0,4
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.TestJavassistUtils,org.apache.servicecomb.common.javassist.TestJavassistUtils.multiWrapper,162,2,0,2,2,0,False,0,7,0,0,4
org.apache.servicecomb,org.apache.servicecomb.AuthHandlerBoot,org.apache.servicecomb.AuthHandlerBoot.onBootEvent,37,7,1,6,0,7,False,0,11,0,0,1
io.protostuff,io.protostuff.MapSchemaUtils,io.protostuff.MapSchemaUtils.createMapWrapper,27,1,1,0,0,1,False,0,0,0,0,0
io.protostuff,io.protostuff.MapSchemaUtils,io.protostuff.MapSchemaUtils.MapSchemaUtils,24,0,0,0,0,0,False,0,0,0,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.ByteArrayInputEx,58,0,0,0,0,0,False,0,0,0,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.isCurrentFieldPacked,64,0,0,0,0,0,False,0,0,0,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readTag,71,0,0,0,0,0,False,0,1,1,0,1
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.checkLastTagWas,90,0,0,0,0,0,False,0,0,0,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.skipField,103,0,0,0,0,0,False,0,6,6,0,1
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.skipMessage,138,0,0,0,0,0,False,0,2,2,0,1
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.handleUnknownField,151,0,0,0,0,0,False,0,1,1,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readFieldNumber,156,0,0,0,0,0,False,0,2,2,0,2
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.checkIfPackedField,185,0,0,0,0,0,False,0,1,1,0,1
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readDouble,206,0,0,0,0,0,False,0,1,1,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readFloat,214,0,0,0,0,0,False,0,1,1,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readUInt64,222,0,0,0,0,0,False,0,1,1,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readInt64,230,0,0,0,0,0,False,0,1,1,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readInt32,238,0,0,0,0,0,False,0,1,1,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readFixed64,246,0,0,0,0,0,False,0,1,1,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readFixed32,254,0,0,0,0,0,False,0,1,1,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readBool,262,0,0,0,0,0,False,0,0,0,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readUInt32,270,0,0,0,0,0,False,0,1,1,0,0
